,index,male,female,non-binary,timestamp
446,57182000.0,0,0,0,2021-09-07T02:38:34
447,57406009.0,0,0,0,2021-09-07T02:38:34
448,59927004.0,0,0,0,2021-09-07T02:38:34
449,60862001.0,0,0,0,2021-09-07T02:38:34
450,61462000.0,0,0,0,2021-09-07T02:38:34
451,61599003.0,0,0,0,2021-09-07T02:38:34
452,62315008.0,0,0,0,2021-09-07T02:38:34
453,63102001.0,0,0,0,2021-09-07T02:38:34
454,67362008.0,0,0,0,2021-09-07T02:38:34
455,68566005.0,0,0,0,2021-09-07T02:38:34
456,69322001.0,0,0,0,2021-09-07T02:38:34
457,69896004.0,0,0,0,2021-09-07T02:38:34
458,73211009.0,0,0,0,2021-09-07T02:38:34
459,73442001.0,0,0,0,2021-09-07T02:38:34
460,74732009.0,0,0,0,2021-09-07T02:38:34
461,75694006.0,0,0,0,2021-09-07T02:38:34
462,76376003.0,0,0,0,2021-09-07T02:38:34
463,86044005.0,0,0,0,2021-09-07T02:38:34
464,709044004.0,0,0,0,2021-09-07T02:38:34
465,129103003.0,0,0,0,2021-09-07T02:38:34
466,195967001.0,0,0,0,2021-09-07T02:38:34
467,200936003.0,0,0,0,2021-09-07T02:38:34
468,233604007.0,0,0,0,2021-09-07T02:38:34
469,698247007.0,0,0,0,2021-09-07T02:38:34
470,hiv/aids,0,0,0,2022-03-15T01:24:28
471,covid-19,0,0,0,2022-03-15T01:24:28
472,takotsubo cardiomyopathy,0,0,0,2022-03-15T01:24:28
473,tuberculoses,0,0,0,2022-03-15T01:24:28
474,endocarditis,0,0,0,2022-03-15T01:24:28
475,syphilis,0,0,0,2022-03-15T01:24:28
476,test,0,0,0,2022-03-15T01:24:28
477,hypertension,0,0,0,2022-03-15T01:24:28
478,sarcoidoses,0,0,0,2022-03-15T01:24:28
479,hepatitis b,0,0,0,2022-03-15T01:24:28
480,ulcerative colitis,0,0,0,2022-03-15T01:24:28
481,crohn’s disease,0,0,0,2022-03-15T01:24:28
482,chagas disease,0,0,0,2022-03-15T01:24:28
483,3545003.0,0,0,0,2022-03-15T01:24:28
484,3716002.0,0,0,0,2022-03-15T01:24:28
485,3723001.0,0,0,0,2022-03-15T01:24:28
486,4308002.0,0,0,0,2022-03-15T01:24:28
487,6142004.0,0,0,0,2022-03-15T01:24:28
488,6471006.0,0,0,0,2022-03-15T01:24:28
489,7973008.0,0,0,0,2022-03-15T01:24:28
490,8357008.0,0,0,0,2022-03-15T01:24:28
